,emotion,statements,situation,gender
datasources\LDC_male\wav\1DG1s0440.wav,disgust,four hundred eight,conversation,male
datasources\LDC_male\wav\1DG1s0441.wav,disgust,four hundred eight,conversation,male
datasources\LDC_male\wav\1DG1s0442.wav,disgust,four hundred eight,conversation,male
datasources\LDC_male\wav\1DG1s0460.wav,disgust,may seventeenth,conversation,male
datasources\LDC_male\wav\1DG1s0461.wav,disgust,may seventeenth,conversation,male
datasources\LDC_male\wav\1DG1s0462.wav,disgust,may seventeenth,conversation,male
datasources\LDC_male\wav\1DG1s0470.wav,disgust,nine hundred six,conversation,male
datasources\LDC_male\wav\1DG1s0471.wav,disgust,nine hundred six,conversation,male
datasources\LDC_male\wav\1DG1s0472.wav,disgust,nine hundred six,conversation,male
datasources\LDC_male\wav\1DG1s0480.wav,disgust,october twelfth,conversation,male
datasources\LDC_male\wav\1DG1s0481.wav,disgust,october twelfth,conversation,male
datasources\LDC_male\wav\1DG1s0482.wav,disgust,october twelfth,conversation,male
datasources\LDC_male\wav\1DG1s0490.wav,disgust,one thousand five,conversation,male
datasources\LDC_male\wav\1DG1s0491.wav,disgust,one thousand five,conversation,male
datasources\LDC_male\wav\1DG1s0500.wav,disgust,six hundred twelve,conversation,male
datasources\LDC_male\wav\1DG1s0510.wav,disgust,three hundred eight,conversation,male
datasources\LDC_male\wav\1DG1s0511.wav,disgust,three hundred eight,conversation,male
datasources\LDC_male\wav\1DG1s0520.wav,disgust,two hundred three,conversation,male
datasources\LDC_male\wav\1HA1s0950.wav,hot anger,december tenth,conversation,male
datasources\LDC_male\wav\1HA1s0951.wav,hot anger,december tenth,conversation,male
datasources\LDC_male\wav\1HA1s0952.wav,hot anger,december tenth,conversation,male
datasources\LDC_male\wav\1HA1s0960.wav,hot anger,eight hundred twelve,conversation,male
datasources\LDC_male\wav\1HA1s0970.wav,hot anger,five thousand five,conversation,male
datasources\LDC_male\wav\1HA1s0980.wav,hot anger,four thousand twelve,conversation,male
datasources\LDC_male\wav\1HA1s1000.wav,hot anger,november third,conversation,male
datasources\LDC_male\wav\1HA1s1010.wav,hot anger,one hundred five,conversation,male
datasources\LDC_male\wav\1HA1s1030.wav,hot anger,ten thousand nine,conversation,male
datasources\LDC_male\wav\1HA1s1031.wav,hot anger,ten thousand nine,conversation,male
datasources\LDC_male\wav\1HA1s1040.wav,hot anger,three thousand twelve,conversation,male
datasources\LDC_male\wav\1HA1s1041.wav,hot anger,three thousand twelve,conversation,male
datasources\LDC_male\wav\1HA1s3300.wav,hot anger,march thirty-first,conversation,male
datasources\LDC_male\wav\1HA1s3520.wav,hot anger,seventy-three,conversation,male
datasources\LDC_male\wav\1HP1s0740.wav,happy,three hundred nine,conversation,male
datasources\LDC_male\wav\1HP1s0741.wav,happy,three hundred nine,conversation,male
datasources\LDC_male\wav\1HP1s1050.wav,happy,april thirteenth,conversation,male
datasources\LDC_male\wav\1HP1s1051.wav,happy,april thirteenth,conversation,male
datasources\LDC_male\wav\1HP1s1070.wav,happy,four hundred nine,conversation,male
datasources\LDC_male\wav\1HP1s1071.wav,happy,four hundred nine,conversation,male
datasources\LDC_male\wav\1HP1s1080.wav,happy,june eleventh,conversation,male
datasources\LDC_male\wav\1HP1s1081.wav,happy,june eleventh,conversation,male
datasources\LDC_male\wav\1HP1s1082.wav,happy,june eleventh,conversation,male
datasources\LDC_male\wav\1HP1s1090.wav,happy,may twentieth,conversation,male
datasources\LDC_male\wav\1HP1s1091.wav,happy,may twentieth,conversation,male
datasources\LDC_male\wav\1HP1s1100.wav,happy,nine hundred twelve,conversation,male
datasources\LDC_male\wav\1HP1s1101.wav,happy,nine hundred twelve,conversation,male
datasources\LDC_male\wav\1HP1s1110.wav,happy,one thousand one,conversation,male
datasources\LDC_male\wav\1HP1s1111.wav,happy,one thousand one,conversation,male
datasources\LDC_male\wav\1HP1s1120.wav,happy,september first,conversation,male
datasources\LDC_male\wav\1HP1s1121.wav,happy,september first,conversation,male
datasources\LDC_male\wav\1HP1s1122.wav,happy,september first,conversation,male
datasources\LDC_male\wav\1HP1s1123.wav,happy,september first,conversation,male
datasources\LDC_male\wav\1HP1s1130.wav,happy,six thousand five,conversation,male
datasources\LDC_male\wav\1HP1s1140.wav,happy,two thousand eight,conversation,male
datasources\LDC_male\wav\1HP1s1141.wav,happy,two thousand eight,conversation,male
datasources\LDC_male\wav\1HP1s1142.wav,happy,two thousand eight,conversation,male
datasources\LDC_male\wav\1NT1s0170.wav,neutral,one hundred twelve,conversation,male
datasources\LDC_male\wav\1NT1s0171.wav,neutral,one hundred twelve,conversation,male
datasources\LDC_male\wav\1NT1s0370.wav,neutral,october third,conversation,male
datasources\LDC_male\wav\1NT1s0390.wav,neutral,six hundred three,conversation,male
datasources\LDC_male\wav\1NT1s0780.wav,neutral,two thousand ten,conversation,male
datasources\LDC_male\wav\1NT1s0781.wav,neutral,two thousand ten,conversation,male
datasources\LDC_male\wav\1NT1s0810.wav,neutral,march eleventh,conversation,male
datasources\LDC_male\wav\1NT1s0820.wav,neutral,nineteen hundred,conversation,male
datasources\LDC_male\wav\1NT1s1050.wav,neutral,april thirteenth,conversation,male
datasources\LDC_male\wav\1NT1s1070.wav,neutral,four hundred nine,conversation,male
datasources\LDC_male\wav\1NT1s1140.wav,neutral,two thousand eight,conversation,male
datasources\LDC_male\wav\1NT1s1141.wav,neutral,two thousand eight,conversation,male
datasources\LDC_male\wav\1NT1s1180.wav,neutral,nine thousand eight,conversation,male
datasources\LDC_male\wav\1NT1s1280.wav,neutral,december fifth,conversation,male
datasources\LDC_male\wav\1NT1s1281.wav,neutral,december fifth,conversation,male
datasources\LDC_male\wav\1NT1s1320.wav,neutral,eight hundred two,conversation,male
datasources\LDC_male\wav\1NT1s1330.wav,neutral,eight thousand two,conversation,male
datasources\LDC_male\wav\1NT1s1360.wav,neutral,five hundred one,conversation,male
datasources\LDC_male\wav\1NT1s1370.wav,neutral,five thousand one,conversation,male
datasources\LDC_male\wav\1NT1s1410.wav,neutral,four thousand nine,conversation,male
datasources\LDC_male\wav\1NT1s1411.wav,neutral,four thousand nine,conversation,male
datasources\LDC_male\wav\1NT1s1440.wav,neutral,july eighteenth,conversation,male
datasources\LDC_male\wav\1NT1s1450.wav,neutral,june thirtieth,conversation,male
datasources\LDC_male\wav\1NT1s1520.wav,neutral,nine hundred eight,conversation,male
datasources\LDC_male\wav\1NT1s1550.wav,neutral,no emotion,conversation,male
datasources\LDC_male\wav\1NT1s1580.wav,neutral,november tenth,conversation,male
datasources\LDC_male\wav\1NT1s1640.wav,neutral,one thousand twelve,conversation,male
datasources\LDC_male\wav\1NT1s1670.wav,neutral,september twelfth,conversation,male
datasources\LDC_male\wav\1NT1s1720.wav,neutral,six thousand three,conversation,male
datasources\LDC_male\wav\1NT1s1740.wav,neutral,ten thousand one,conversation,male
datasources\LDC_male\wav\1NT1s1760.wav,neutral,three hundred five,conversation,male
datasources\LDC_male\wav\1NT1s1780.wav,neutral,three thousand five,conversation,male
datasources\LDC_male\wav\1NT1s1800.wav,neutral,two hundred eight,conversation,male
datasources\LDC_male\wav\1NT1s1830.wav,neutral,two thousand nine,conversation,male
datasources\LDC_male\wav\1NT1s1831.wav,neutral,two thousand nine,conversation,male
datasources\LDC_male\wav\1NT1s1832.wav,neutral,two thousand nine,conversation,male
datasources\LDC_male\wav\1NT1s1840.wav,neutral,two thousand one,conversation,male
datasources\LDC_male\wav\1NT1s1841.wav,neutral,two thousand one,conversation,male
datasources\LDC_male\wav\1NT1s1842.wav,neutral,two thousand one,conversation,male
datasources\LDC_male\wav\1NT1s1843.wav,neutral,two thousand one,conversation,male
datasources\LDC_male\wav\1NT1s1844.wav,neutral,two thousand one,conversation,male
datasources\LDC_male\wav\1NT1s1845.wav,neutral,two thousand one,conversation,male
datasources\LDC_male\wav\1NT1s1850.wav,neutral,two thousand six,conversation,male
datasources\LDC_male\wav\1NT1s1860.wav,neutral,two thousand three,conversation,male
datasources\LDC_male\wav\1NT1s1870.wav,neutral,two thousand twelve,conversation,male
datasources\LDC_male\wav\1NT1s1871.wav,neutral,two thousand twelve,conversation,male
datasources\LDC_male\wav\1NT1s1880.wav,neutral,two thousand two,conversation,male
datasources\LDC_male\wav\1NT1s1881.wav,neutral,two thousand two,conversation,male
datasources\LDC_male\wav\1NT1s1882.wav,neutral,two thousand two,conversation,male
datasources\LDC_male\wav\1NT1s3360.wav,neutral,march twenty-sixth,conversation,male
datasources\LDC_male\wav\1NT1s3420.wav,neutral,may twenty-fourth,conversation,male
datasources\LDC_male\wav\1NT1s3510.wav,neutral,seventy-six,conversation,male
datasources\LDC_male\wav\1NT2s0100.wav,neutral,april fifteenth,distant,male
datasources\LDC_male\wav\1NT2s0120.wav,neutral,five thousand twelve,distant,male
datasources\LDC_male\wav\1NT2s0200.wav,neutral,two hundred one,distant,male
datasources\LDC_male\wav\1NT2s0201.wav,neutral,two hundred one,distant,male
datasources\LDC_male\wav\1NT2s0290.wav,neutral,sixteen hundred,distant,male
datasources\LDC_male\wav\1NT2s0291.wav,neutral,sixteen hundred,distant,male
datasources\LDC_male\wav\1NT2s0340.wav,neutral,july second,distant,male
datasources\LDC_male\wav\1NT2s0360.wav,neutral,nine hundred one,distant,male
datasources\LDC_male\wav\1NT2s0800.wav,neutral,five hundred twelve,distant,male
datasources\LDC_male\wav\1NT2s0801.wav,neutral,five hundred twelve,distant,male
datasources\LDC_male\wav\1NT2s0860.wav,neutral,three thousand six,distant,male
datasources\LDC_male\wav\1NT2s0861.wav,neutral,three thousand six,distant,male
datasources\LDC_male\wav\1NT2s0862.wav,neutral,three thousand six,distant,male
datasources\LDC_male\wav\1NT2s1120.wav,neutral,september first,distant,male
datasources\LDC_male\wav\1NT2s1130.wav,neutral,six thousand five,distant,male
datasources\LDC_male\wav\1NT2s1150.wav,neutral,fifteen hundred,distant,male
datasources\LDC_male\wav\1NT2s1220.wav,neutral,three hundred six,distant,male
datasources\LDC_male\wav\1NT2s1260.wav,neutral,august nineteenth,distant,male
datasources\LDC_male\wav\1NT2s1261.wav,neutral,august nineteenth,distant,male
datasources\LDC_male\wav\1NT2s1290.wav,neutral,december sixth,distant,male
datasources\LDC_male\wav\1NT2s1300.wav,neutral,eight hundred nine,distant,male
datasources\LDC_male\wav\1NT2s1390.wav,neutral,four hundred three,distant,male
datasources\LDC_male\wav\1NT2s1420.wav,neutral,four thousand three,distant,male
datasources\LDC_male\wav\1NT2s1480.wav,neutral,march twentieth,distant,male
datasources\LDC_male\wav\1NT2s1481.wav,neutral,march twentieth,distant,male
datasources\LDC_male\wav\1NT2s1500.wav,neutral,may thirtieth,distant,male
datasources\LDC_male\wav\1NT2s1530.wav,neutral,nine thousand one,distant,male
datasources\LDC_male\wav\1NT2s1560.wav,neutral,november eighth,distant,male
datasources\LDC_male\wav\1NT2s1590.wav,neutral,october fifth,distant,male
datasources\LDC_male\wav\1NT2s1591.wav,neutral,october fifth,distant,male
datasources\LDC_male\wav\1NT2s1600.wav,neutral,one hundred four,distant,male
datasources\LDC_male\wav\1NT2s1601.wav,neutral,one hundred four,distant,male
datasources\LDC_male\wav\1NT2s1630.wav,neutral,one thousand four,distant,male
datasources\LDC_male\wav\1NT2s1700.wav,neutral,six hundred five,distant,male
datasources\LDC_male\wav\1NT2s1701.wav,neutral,six hundred five,distant,male
datasources\LDC_male\wav\1NT2s1750.wav,neutral,ten thousand twelve,distant,male
datasources\LDC_male\wav\1NT2s1820.wav,neutral,two thousand four,distant,male
datasources\LDC_male\wav\1NT2s1860.wav,neutral,two thousand three,distant,male
datasources\LDC_male\wav\1NT2s3240.wav,neutral,june twenty-fifth,distant,male
datasources\LDC_male\wav\1NT2s3460.wav,neutral,seventy-eight,distant,male
datasources\LDC_male\wav\1NT3s0160.wav,neutral,october sixth,tete a tete,male
datasources\LDC_male\wav\1NT3s0180.wav,neutral,six hundred six,tete a tete,male
datasources\LDC_male\wav\1NT3s0181.wav,neutral,six hundred six,tete a tete,male
datasources\LDC_male\wav\1NT3s0320.wav,neutral,eight thousand three,tete a tete,male
datasources\LDC_male\wav\1NT3s1080.wav,neutral,june eleventh,tete a tete,male
datasources\LDC_male\wav\1NT3s1100.wav,neutral,nine hundred twelve,tete a tete,male
datasources\LDC_male\wav\1NT3s1190.wav,neutral,one thousand ten,tete a tete,male
datasources\LDC_male\wav\1NT3s1240.wav,neutral,april seventh,tete a tete,male
datasources\LDC_male\wav\1NT3s1241.wav,neutral,april seventh,tete a tete,male
datasources\LDC_male\wav\1NT3s1270.wav,neutral,august thirteenth,tete a tete,male
datasources\LDC_male\wav\1NT3s1310.wav,neutral,eight hundred three,tete a tete,male
datasources\LDC_male\wav\1NT3s1340.wav,neutral,february,tete a tete,male
datasources\LDC_male\wav\1NT3s1350.wav,neutral,five hundred four,tete a tete,male
datasources\LDC_male\wav\1NT3s1380.wav,neutral,four hundred five,tete a tete,male
datasources\LDC_male\wav\1NT3s1400.wav,neutral,four thousand five,tete a tete,male
datasources\LDC_male\wav\1NT3s1430.wav,neutral,fourteen hundred,tete a tete,male
datasources\LDC_male\wav\1NT3s1540.wav,neutral,nine thousand twelve,tete a tete,male
datasources\LDC_male\wav\1NT3s1570.wav,neutral,november ninth,tete a tete,male
datasources\LDC_male\wav\1NT3s1610.wav,neutral,one hundred ten,tete a tete,male
datasources\LDC_male\wav\1NT3s1611.wav,neutral,one hundred ten,tete a tete,male
datasources\LDC_male\wav\1NT3s1660.wav,neutral,september tenth,tete a tete,male
datasources\LDC_male\wav\1NT3s1661.wav,neutral,september tenth,tete a tete,male
datasources\LDC_male\wav\1NT3s1710.wav,neutral,six thousand six,tete a tete,male
datasources\LDC_male\wav\1NT3s1730.wav,neutral,ten thousand four,tete a tete,male
datasources\LDC_male\wav\1NT3s1770.wav,neutral,three hundred two,tete a tete,male
datasources\LDC_male\wav\1NT3s1790.wav,neutral,three thousand two,tete a tete,male
datasources\LDC_male\wav\1NT3s1810.wav,neutral,two hundred twelve,tete a tete,male
datasources\LDC_male\wav\1NT3s1840.wav,neutral,two thousand one,tete a tete,male
datasources\LDC_male\wav\1NT3s3280.wav,neutral,june twenty-sixth,tete a tete,male
datasources\LDC_male\wav\1NT3s3340.wav,neutral,march twenty-fourth,tete a tete,male
datasources\LDC_male\wav\1NT3s3400.wav,neutral,may twenty-fifth,tete a tete,male
datasources\LDC_male\wav\1NT3s3500.wav,neutral,seventy-one,tete a tete,male
datasources\LDC_male\wav\1NT3s3550.wav,neutral,thirty-seven,tete a tete,male
datasources\LDC_male\wav\1SN1s2190.wav,sadness,august second,conversation,male
datasources\LDC_male\wav\1SN1s2191.wav,sadness,august second,conversation,male
datasources\LDC_male\wav\1SN1s2200.wav,sadness,five hundred five,conversation,male
datasources\LDC_male\wav\1SN1s2210.wav,sadness,four hundred twelve,conversation,male
datasources\LDC_male\wav\1SN1s2230.wav,sadness,nine hundred nine,conversation,male
datasources\LDC_male\wav\1SN1s2231.wav,sadness,nine hundred nine,conversation,male
datasources\LDC_male\wav\1SN1s2240.wav,sadness,one thousand two,conversation,male
datasources\LDC_male\wav\1SN1s2250.wav,sadness,september third,conversation,male
datasources\LDC_male\wav\1SN1s2251.wav,sadness,september third,conversation,male
datasources\LDC_male\wav\1SN1s2260.wav,sadness,six thousand ten,conversation,male
datasources\LDC_male\wav\1SN1s2280.wav,sadness,three hundred twelve,conversation,male
datasources\LDC_male\wav\1SN1s3430.wav,sadness,may twenty-ninth,conversation,male
datasources\LDC_male\wav\1SN1s3431.wav,sadness,may twenty-ninth,conversation,male
datasources\LDC_male\wav\2AX1s2290.wav,anxiety,april eighteenth,conversation,male
datasources\LDC_male\wav\2AX1s2291.wav,anxiety,april eighteenth,conversation,male
datasources\LDC_male\wav\2AX1s2300.wav,anxiety,eight thousand one,conversation,male
datasources\LDC_male\wav\2AX1s2301.wav,anxiety,eight thousand one,conversation,male
datasources\LDC_male\wav\2AX1s2302.wav,anxiety,eight thousand one,conversation,male
datasources\LDC_male\wav\2AX1s2310.wav,anxiety,five thousand three,conversation,male
datasources\LDC_male\wav\2AX1s2311.wav,anxiety,five thousand three,conversation,male
datasources\LDC_male\wav\2AX1s2330.wav,anxiety,nine hundred five,conversation,male
datasources\LDC_male\wav\2AX1s2331.wav,anxiety,nine hundred five,conversation,male
datasources\LDC_male\wav\2AX1s2340.wav,anxiety,october ninth,conversation,male
datasources\LDC_male\wav\2AX1s2341.wav,anxiety,october ninth,conversation,male
datasources\LDC_male\wav\2AX1s2350.wav,anxiety,one hundred three,conversation,male
datasources\LDC_male\wav\2AX1s2360.wav,anxiety,ten thousand two,conversation,male
datasources\LDC_male\wav\2AX1s2361.wav,anxiety,ten thousand two,conversation,male
datasources\LDC_male\wav\2AX1s2370.wav,anxiety,two hundred nine,conversation,male
datasources\LDC_male\wav\2AX1s2371.wav,anxiety,two hundred nine,conversation,male
datasources\LDC_male\wav\2AX1s2630.wav,anxiety,six hundred one,conversation,male
datasources\LDC_male\wav\2AX1s2980.wav,anxiety,july fifteenth,conversation,male
datasources\LDC_male\wav\2AX1s3350.wav,anxiety,march twenty-ninth,conversation,male
datasources\LDC_male\wav\2AX1s3351.wav,anxiety,march twenty-ninth,conversation,male
datasources\LDC_male\wav\2AX1s3352.wav,anxiety,march twenty-ninth,conversation,male
datasources\LDC_male\wav\2BD1s0550.wav,boredom,eight hundred five,conversation,male
datasources\LDC_male\wav\2BD1s0551.wav,boredom,eight hundred five,conversation,male
datasources\LDC_male\wav\2BD1s0552.wav,boredom,eight hundred five,conversation,male
datasources\LDC_male\wav\2BD1s0720.wav,boredom,six thousand two,conversation,male
datasources\LDC_male\wav\2BD1s0721.wav,boredom,six thousand two,conversation,male
datasources\LDC_male\wav\2BD1s0722.wav,boredom,six thousand two,conversation,male
datasources\LDC_male\wav\2BD1s1270.wav,boredom,august thirteenth,conversation,male
datasources\LDC_male\wav\2BD1s1271.wav,boredom,august thirteenth,conversation,male
datasources\LDC_male\wav\2BD1s1360.wav,boredom,five hundred one,conversation,male
datasources\LDC_male\wav\2BD1s1361.wav,boredom,five hundred one,conversation,male
datasources\LDC_male\wav\2BD1s1400.wav,boredom,four thousand five,conversation,male
datasources\LDC_male\wav\2BD1s1401.wav,boredom,four thousand five,conversation,male
datasources\LDC_male\wav\2BD1s1402.wav,boredom,four thousand five,conversation,male
datasources\LDC_male\wav\2BD1s1403.wav,boredom,four thousand five,conversation,male
datasources\LDC_male\wav\2BD1s1560.wav,boredom,november eighth,conversation,male
datasources\LDC_male\wav\2BD1s1561.wav,boredom,november eighth,conversation,male
datasources\LDC_male\wav\2BD1s1780.wav,boredom,three thousand five,conversation,male
datasources\LDC_male\wav\2BD1s1781.wav,boredom,three thousand five,conversation,male
datasources\LDC_male\wav\2BD1s1782.wav,boredom,three thousand five,conversation,male
datasources\LDC_male\wav\2BD1s1783.wav,boredom,three thousand five,conversation,male
datasources\LDC_male\wav\2BD1s2090.wav,boredom,nine thousand ten,conversation,male
datasources\LDC_male\wav\2BD1s2091.wav,boredom,nine thousand ten,conversation,male
datasources\LDC_male\wav\2BD1s2092.wav,boredom,nine thousand ten,conversation,male
datasources\LDC_male\wav\2BD1s2093.wav,boredom,nine thousand ten,conversation,male
datasources\LDC_male\wav\2BD1s3260.wav,boredom,june twenty-fourth,conversation,male
datasources\LDC_male\wav\2BD1s3261.wav,boredom,june twenty-fourth,conversation,male
datasources\LDC_male\wav\2BD1s3262.wav,boredom,june twenty-fourth,conversation,male
datasources\LDC_male\wav\2BD1s3460.wav,boredom,seventy-eight,conversation,male
datasources\LDC_male\wav\2BD1s3461.wav,boredom,seventy-eight,conversation,male
datasources\LDC_male\wav\2DG1s2460.wav,disgust,december first,conversation,male
datasources\LDC_male\wav\2DG1s2461.wav,disgust,december first,conversation,male
datasources\LDC_male\wav\2DG1s2470.wav,disgust,eight hundred one,conversation,male
datasources\LDC_male\wav\2DG1s2471.wav,disgust,eight hundred one,conversation,male
datasources\LDC_male\wav\2DG1s2480.wav,disgust,five hundred three,conversation,male
datasources\LDC_male\wav\2DG1s2481.wav,disgust,five hundred three,conversation,male
datasources\LDC_male\wav\2DG1s2482.wav,disgust,five hundred three,conversation,male
datasources\LDC_male\wav\2DG1s2483.wav,disgust,five hundred three,conversation,male
datasources\LDC_male\wav\2DG1s2490.wav,disgust,four thousand one,conversation,male
datasources\LDC_male\wav\2DG1s2491.wav,disgust,four thousand one,conversation,male
datasources\LDC_male\wav\2DG1s2510.wav,disgust,nine thousand two,conversation,male
datasources\LDC_male\wav\2DG1s2511.wav,disgust,nine thousand two,conversation,male
datasources\LDC_male\wav\2DG1s2520.wav,disgust,november fourth,conversation,male
datasources\LDC_male\wav\2DG1s2521.wav,disgust,november fourth,conversation,male
datasources\LDC_male\wav\2DG1s2550.wav,disgust,three thousand one,conversation,male
datasources\LDC_male\wav\2DG1s2551.wav,disgust,three thousand one,conversation,male
datasources\LDC_male\wav\2DG1s3290.wav,disgust,june twenty-third,conversation,male
datasources\LDC_male\wav\2DG1s3291.wav,disgust,june twenty-third,conversation,male
datasources\LDC_male\wav\2DG1s3490.wav,disgust,seventy-nine,conversation,male
datasources\LDC_male\wav\2DG1s3491.wav,disgust,seventy-nine,conversation,male
datasources\LDC_male\wav\2DG1s3540.wav,disgust,sixty-seven,conversation,male
datasources\LDC_male\wav\2DG1s3541.wav,disgust,sixty-seven,conversation,male
datasources\LDC_male\wav\2HA1s1140.wav,hot anger,two thousand eight,conversation,male
datasources\LDC_male\wav\2HA1s1141.wav,hot anger,two thousand eight,conversation,male
datasources\LDC_male\wav\2HA1s1150.wav,hot anger,fifteen hundred,conversation,male
datasources\LDC_male\wav\2HA1s1151.wav,hot anger,fifteen hundred,conversation,male
datasources\LDC_male\wav\2HA1s2620.wav,hot anger,one thousand six,conversation,male
datasources\LDC_male\wav\2HA1s2621.wav,hot anger,one thousand six,conversation,male
datasources\LDC_male\wav\2HA1s2622.wav,hot anger,one thousand six,conversation,male
datasources\LDC_male\wav\2HA1s2720.wav,hot anger,august eighteenth,conversation,male
datasources\LDC_male\wav\2HA1s2721.wav,hot anger,august eighteenth,conversation,male
datasources\LDC_male\wav\2HA1s2730.wav,hot anger,four hundred one,conversation,male
datasources\LDC_male\wav\2HA1s2731.wav,hot anger,four hundred one,conversation,male
datasources\LDC_male\wav\2HA1s2740.wav,hot anger,june seventeenth,conversation,male
datasources\LDC_male\wav\2HA1s2741.wav,hot anger,june seventeenth,conversation,male
datasources\LDC_male\wav\2HA1s2742.wav,hot anger,june seventeenth,conversation,male
datasources\LDC_male\wav\2HA1s2750.wav,hot anger,nine hundred two,conversation,male
datasources\LDC_male\wav\2HA1s2751.wav,hot anger,nine hundred two,conversation,male
datasources\LDC_male\wav\2HA1s2760.wav,hot anger,september fourth,conversation,male
datasources\LDC_male\wav\2HA1s2761.wav,hot anger,september fourth,conversation,male
datasources\LDC_male\wav\2HA1s2770.wav,hot anger,six thousand four,conversation,male
datasources\LDC_male\wav\2HA1s2771.wav,hot anger,six thousand four,conversation,male
datasources\LDC_male\wav\2HA1s2772.wav,hot anger,six thousand four,conversation,male
datasources\LDC_male\wav\2HA1s2780.wav,hot anger,three hundred one,conversation,male
datasources\LDC_male\wav\2HA1s2781.wav,hot anger,three hundred one,conversation,male
datasources\LDC_male\wav\2HA1s3390.wav,hot anger,may twenty-eighth,conversation,male
datasources\LDC_male\wav\2HA1s3391.wav,hot anger,may twenty-eighth,conversation,male
datasources\LDC_male\wav\2HA1s3392.wav,hot anger,may twenty-eighth,conversation,male
datasources\LDC_male\wav\2HP1s0630.wav,happy,march thirtieth,conversation,male
datasources\LDC_male\wav\2HP1s0631.wav,happy,march thirtieth,conversation,male
datasources\LDC_male\wav\2HP1s0670.wav,happy,one hundred eight,conversation,male
datasources\LDC_male\wav\2HP1s0671.wav,happy,one hundred eight,conversation,male
datasources\LDC_male\wav\2HP1s1290.wav,happy,december sixth,conversation,male
datasources\LDC_male\wav\2HP1s1291.wav,happy,december sixth,conversation,male
datasources\LDC_male\wav\2HP1s1310.wav,happy,eight hundred three,conversation,male
datasources\LDC_male\wav\2HP1s1311.wav,happy,eight hundred three,conversation,male
datasources\LDC_male\wav\2HP1s1420.wav,happy,four thousand three,conversation,male
datasources\LDC_male\wav\2HP1s1421.wav,happy,four thousand three,conversation,male
datasources\LDC_male\wav\2HP1s1580.wav,happy,november tenth,conversation,male
datasources\LDC_male\wav\2HP1s1581.wav,happy,november tenth,conversation,male
datasources\LDC_male\wav\2HP1s1582.wav,happy,november tenth,conversation,male
datasources\LDC_male\wav\2HP1s1730.wav,happy,ten thousand four,conversation,male
datasources\LDC_male\wav\2HP1s1731.wav,happy,ten thousand four,conversation,male
datasources\LDC_male\wav\2HP1s2030.wav,happy,five thousand eight,conversation,male
datasources\LDC_male\wav\2HP1s2031.wav,happy,five thousand eight,conversation,male
datasources\LDC_male\wav\2HP1s2170.wav,happy,three thousand three,conversation,male
